"Index Name","Date","Open","High","Low","Close"
"NIFTY METAL","31 Dec 2015","1823.20","1829.15","1809.25","1826.85"
"NIFTY METAL","30 Dec 2015","1818.75","1835.05","1813.75","1817.75"
"NIFTY METAL","29 Dec 2015","1822.85","1827.95","1809.60","1811.95"
"NIFTY METAL","28 Dec 2015","1841.60","1844.45","1805.90","1815.95"
"NIFTY METAL","24 Dec 2015","1838.10","1840.55","1821.90","1835.85"
"NIFTY METAL","23 Dec 2015","1799.80","1824.35","1799.80","1820.75"
"NIFTY METAL","22 Dec 2015","1801.90","1810.30","1778.95","1781.60"
"NIFTY METAL","21 Dec 2015","1778.40","1808.60","1774.60","1800.40"
"NIFTY METAL","18 Dec 2015","1790.65","1797.20","1768.55","1772.70"
"NIFTY METAL","17 Dec 2015","1747.10","1798.25","1746.95","1795.55"
"NIFTY METAL","16 Dec 2015","1748.00","1754.35","1732.80","1737.90"
"NIFTY METAL","15 Dec 2015","1747.30","1748.65","1725.20","1735.85"
"NIFTY METAL","14 Dec 2015","1695.15","1746.85","1692.90","1740.15"
"NIFTY METAL","11 Dec 2015","1700.20","1722.15","1687.05","1699.80"
"NIFTY METAL","10 Dec 2015","1667.20","1695.15","1665.85","1690.00"
"NIFTY METAL","09 Dec 2015","1704.75","1707.30","1651.30","1658.80"
"NIFTY METAL","08 Dec 2015","1758.60","1762.00","1710.10","1713.30"
"NIFTY METAL","07 Dec 2015","1795.20","1802.55","1767.35","1770.05"
"NIFTY METAL","04 Dec 2015","1768.85","1791.10","1763.85","1776.95"
"NIFTY METAL","03 Dec 2015","1795.15","1798.70","1776.15","1779.55"
"NIFTY METAL","02 Dec 2015","1805.85","1816.00","1791.60","1806.15"
"NIFTY METAL","01 Dec 2015","1743.40","1796.10","1743.25","1790.90"
"NIFTY METAL","30 Nov 2015","1737.25","1750.30","1733.15","1735.80"
"NIFTY METAL","27 Nov 2015","1721.30","1758.15","1717.40","1736.35"
"NIFTY METAL","26 Nov 2015","1704.75","1725.30","1701.05","1715.15"
"NIFTY METAL","24 Nov 2015","1693.95","1708.75","1691.50","1697.25"
"NIFTY METAL","23 Nov 2015","1729.50","1729.50","1693.20","1698.30"
"NIFTY METAL","20 Nov 2015","1729.40","1744.15","1723.65","1726.10"
"NIFTY METAL","19 Nov 2015","1713.30","1727.55","1699.55","1722.85"
"NIFTY METAL","18 Nov 2015","1739.80","1746.50","1697.00","1702.05"
"NIFTY METAL","17 Nov 2015","1731.10","1752.80","1729.40","1739.65"
"NIFTY METAL","16 Nov 2015","1696.95","1725.50","1682.80","1720.60"
"NIFTY METAL","13 Nov 2015","1690.35","1714.65","1679.70","1704.05"
"NIFTY METAL","11 Nov 2015","1700.60","1704.90","1697.65","1699.15"
"NIFTY METAL","10 Nov 2015","1709.05","1710.95","1677.50","1681.45"
"NIFTY METAL","09 Nov 2015","1674.90","1734.85","1668.25","1723.65"
"NIFTY METAL","06 Nov 2015","1725.25","1729.40","1700.20","1720.25"
