"Index Name","Date","Open","High","Low","Close"
"NIFTY METAL","31 Dec 2019","2788.10","2813.60","2783.80","2801.30"
"NIFTY METAL","30 Dec 2019","2765.20","2801.60","2737.70","2796.50"
"NIFTY METAL","27 Dec 2019","2750.80","2768.75","2724.65","2760.35"
"NIFTY METAL","26 Dec 2019","2725.10","2754.95","2721.10","2739.00"
"NIFTY METAL","24 Dec 2019","2716.50","2734.15","2709.60","2723.15"
"NIFTY METAL","23 Dec 2019","2711.00","2738.00","2694.55","2706.35"
"NIFTY METAL","20 Dec 2019","2693.35","2724.65","2684.30","2707.50"
"NIFTY METAL","19 Dec 2019","2678.85","2697.65","2667.75","2691.10"
"NIFTY METAL","18 Dec 2019","2667.75","2704.60","2648.85","2687.65"
"NIFTY METAL","17 Dec 2019","2603.90","2677.25","2600.95","2665.75"
"NIFTY METAL","16 Dec 2019","2640.55","2642.50","2586.65","2591.10"
"NIFTY METAL","13 Dec 2019","2620.30","2645.30","2607.55","2626.75"
"NIFTY METAL","12 Dec 2019","2525.40","2580.55","2518.50","2568.80"
"NIFTY METAL","11 Dec 2019","2524.65","2533.60","2484.00","2509.55"
"NIFTY METAL","10 Dec 2019","2549.00","2556.60","2510.75","2515.90"
"NIFTY METAL","09 Dec 2019","2539.00","2577.05","2528.45","2551.70"
"NIFTY METAL","06 Dec 2019","2551.05","2571.50","2516.55","2535.85"
"NIFTY METAL","05 Dec 2019","2605.70","2611.20","2535.85","2543.95"
"NIFTY METAL","04 Dec 2019","2536.80","2613.15","2514.00","2604.00"
"NIFTY METAL","03 Dec 2019","2627.85","2629.25","2555.45","2564.20"
"NIFTY METAL","02 Dec 2019","2631.85","2637.10","2612.15","2632.65"
"NIFTY METAL","29 Nov 2019","2644.95","2668.35","2608.45","2625.50"
"NIFTY METAL","28 Nov 2019","2604.00","2662.80","2597.90","2656.85"
"NIFTY METAL","27 Nov 2019","2585.15","2616.85","2583.40","2602.85"
"NIFTY METAL","26 Nov 2019","2614.60","2627.90","2565.65","2580.55"
"NIFTY METAL","25 Nov 2019","2535.05","2608.95","2533.30","2602.00"
"NIFTY METAL","22 Nov 2019","2472.90","2529.70","2468.00","2521.15"
"NIFTY METAL","21 Nov 2019","2524.65","2524.65","2466.65","2470.45"
"NIFTY METAL","20 Nov 2019","2520.10","2549.85","2509.75","2524.90"
"NIFTY METAL","19 Nov 2019","2547.10","2549.25","2512.45","2517.95"
"NIFTY METAL","18 Nov 2019","2511.35","2550.30","2495.60","2539.65"
"NIFTY METAL","15 Nov 2019","2512.65","2529.05","2491.00","2498.80"
"NIFTY METAL","14 Nov 2019","2560.20","2562.10","2499.50","2506.60"
"NIFTY METAL","13 Nov 2019","2617.95","2637.80","2546.80","2556.65"
"NIFTY METAL","11 Nov 2019","2610.15","2622.45","2598.55","2610.10"
"NIFTY METAL","08 Nov 2019","2652.15","2669.95","2607.25","2612.95"
"NIFTY METAL","07 Nov 2019","2645.35","2677.85","2596.70","2659.05"
"NIFTY METAL","06 Nov 2019","2613.90","2656.70","2608.80","2633.45"
