"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","31 Dec 2013","17066.95","17080.10","16966.45","17024.10"
"NIFTY FMCG","30 Dec 2013","16977.25","17067.20","16908.90","17020.15"
"NIFTY FMCG","27 Dec 2013","16894.35","17021.80","16874.85","16975.75"
"NIFTY FMCG","26 Dec 2013","16829.90","16937.15","16802.50","16853.65"
"NIFTY FMCG","24 Dec 2013","16841.60","16867.95","16779.55","16811.95"
"NIFTY FMCG","23 Dec 2013","16677.40","16861.70","16677.40","16811.35"
"NIFTY FMCG","20 Dec 2013","16638.30","16775.85","16500.70","16750.70"
"NIFTY FMCG","19 Dec 2013","16740.45","16763.20","16510.90","16617.00"
"NIFTY FMCG","18 Dec 2013","16611.90","16704.45","16547.40","16675.20"
"NIFTY FMCG","17 Dec 2013","16582.20","16631.65","16490.70","16612.20"
"NIFTY FMCG","16 Dec 2013","16600.75","16636.00","16413.10","16501.85"
"NIFTY FMCG","13 Dec 2013","16656.05","16706.45","16558.45","16622.95"
"NIFTY FMCG","12 Dec 2013","16818.90","16880.00","16685.15","16714.15"
"NIFTY FMCG","11 Dec 2013","16716.60","16858.45","16716.60","16829.15"
"NIFTY FMCG","10 Dec 2013","16568.75","16752.80","16568.75","16724.15"
"NIFTY FMCG","09 Dec 2013","16763.45","16784.85","16506.90","16571.00"
"NIFTY FMCG","06 Dec 2013","16505.25","16594.30","16472.10","16505.45"
"NIFTY FMCG","05 Dec 2013","16799.20","16857.40","16445.50","16469.45"
"NIFTY FMCG","04 Dec 2013","16874.95","16891.85","16614.80","16643.30"
"NIFTY FMCG","03 Dec 2013","17029.95","17029.95","16862.15","16886.80"
"NIFTY FMCG","02 Dec 2013","17036.35","17098.75","16949.15","17013.50"
"NIFTY FMCG","29 Nov 2013","16766.05","17044.50","16766.05","17004.00"
"NIFTY FMCG","28 Nov 2013","16808.25","16857.10","16698.75","16765.85"
"NIFTY FMCG","27 Nov 2013","16577.40","16773.65","16577.40","16732.45"
"NIFTY FMCG","26 Nov 2013","16745.45","16770.30","16558.05","16606.40"
