"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","30 Dec 2016","20492.25","20805.90","20444.80","20754.10"
"NIFTY FMCG","29 Dec 2016","20270.40","20452.55","20120.65","20400.75"
"NIFTY FMCG","28 Dec 2016","20109.90","20404.90","20109.90","20279.00"
"NIFTY FMCG","27 Dec 2016","19671.90","20193.70","19579.45","20150.25"
"NIFTY FMCG","26 Dec 2016","19591.30","19667.65","19457.25","19624.45"
"NIFTY FMCG","23 Dec 2016","19736.60","19750.45","19512.00","19592.85"
"NIFTY FMCG","22 Dec 2016","19755.05","19813.95","19664.15","19750.25"
"NIFTY FMCG","21 Dec 2016","20023.05","20065.55","19786.65","19809.70"
"NIFTY FMCG","20 Dec 2016","20014.80","20083.35","19967.75","20039.05"
"NIFTY FMCG","19 Dec 2016","19950.40","20039.95","19920.75","19957.20"
"NIFTY FMCG","16 Dec 2016","20196.25","20196.25","19955.05","19982.60"
"NIFTY FMCG","15 Dec 2016","20219.00","20391.00","20057.10","20136.05"
"NIFTY FMCG","14 Dec 2016","20520.85","20547.00","20260.75","20313.55"
"NIFTY FMCG","13 Dec 2016","20453.55","20546.50","20295.85","20491.65"
"NIFTY FMCG","12 Dec 2016","20538.90","20547.45","20292.10","20319.70"
"NIFTY FMCG","09 Dec 2016","20528.60","20756.85","20456.60","20622.40"
"NIFTY FMCG","08 Dec 2016","20274.35","20602.55","20249.95","20510.25"
"NIFTY FMCG","07 Dec 2016","20371.05","20384.10","20096.90","20137.35"
"NIFTY FMCG","06 Dec 2016","20507.80","20509.15","20243.00","20293.20"
"NIFTY FMCG","05 Dec 2016","20224.70","20519.50","20181.30","20478.80"
"NIFTY FMCG","02 Dec 2016","20487.15","20487.15","20145.10","20179.85"
"NIFTY FMCG","01 Dec 2016","20523.40","20671.10","20436.65","20554.70"
"NIFTY FMCG","30 Nov 2016","20386.95","20622.30","20253.20","20487.90"
"NIFTY FMCG","29 Nov 2016","20411.65","20539.80","20275.30","20306.60"
"NIFTY FMCG","28 Nov 2016","20131.30","20461.25","20078.70","20426.05"
"NIFTY FMCG","25 Nov 2016","19940.60","20229.00","19844.10","20157.15"
"NIFTY FMCG","24 Nov 2016","19973.10","19980.65","19770.40","19851.70"
"NIFTY FMCG","23 Nov 2016","20023.30","20056.55","19803.70","19976.10"
"NIFTY FMCG","22 Nov 2016","19797.45","20051.55","19699.45","19934.30"
"NIFTY FMCG","21 Nov 2016","19983.80","20005.60","19659.40","19701.25"
"NIFTY FMCG","18 Nov 2016","20098.80","20145.60","19917.65","19959.90"
"NIFTY FMCG","17 Nov 2016","20010.50","20292.25","19990.65","20154.00"
"NIFTY FMCG","16 Nov 2016","20402.35","20494.45","19995.40","20126.10"
