"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","31 Dec 2014","18659.60","18774.20","18659.60","18736.65"
"NIFTY BANK","30 Dec 2014","18573.25","18671.95","18428.10","18647.55"
"NIFTY BANK","29 Dec 2014","18589.60","18700.70","18501.05","18528.35"
"NIFTY BANK","26 Dec 2014","18602.55","18681.75","18448.60","18557.20"
"NIFTY BANK","24 Dec 2014","18582.75","18709.15","18493.30","18535.35"
"NIFTY BANK","23 Dec 2014","18746.80","18923.60","18558.50","18603.75"
"NIFTY BANK","22 Dec 2014","18562.35","18801.15","18424.00","18747.35"
"NIFTY BANK","19 Dec 2014","18545.70","18563.60","18413.75","18478.90"
"NIFTY BANK","18 Dec 2014","18238.00","18356.30","18109.35","18326.60"
"NIFTY BANK","17 Dec 2014","17762.25","18051.85","17502.45","17865.75"
"NIFTY BANK","16 Dec 2014","18249.00","18308.95","17776.35","17830.55"
"NIFTY BANK","15 Dec 2014","18176.70","18470.05","18157.25","18372.65"
"NIFTY BANK","12 Dec 2014","18413.70","18501.75","18236.55","18299.75"
"NIFTY BANK","11 Dec 2014","18427.50","18529.65","18218.40","18405.00"
"NIFTY BANK","10 Dec 2014","18183.10","18532.90","18183.10","18462.95"
"NIFTY BANK","09 Dec 2014","18499.95","18585.35","18248.10","18290.65"
"NIFTY BANK","08 Dec 2014","18804.95","18804.95","18486.55","18510.05"
"NIFTY BANK","05 Dec 2014","18827.60","18875.45","18706.25","18756.75"
"NIFTY BANK","04 Dec 2014","18758.80","18793.15","18575.35","18782.85"
"NIFTY BANK","03 Dec 2014","18549.75","18723.65","18518.00","18645.85"
"NIFTY BANK","02 Dec 2014","18434.75","18601.85","18301.00","18555.85"
"NIFTY BANK","01 Dec 2014","18586.95","18676.10","18497.00","18525.30"
"NIFTY BANK","28 Nov 2014","18082.40","18615.40","18082.40","18513.15"
"NIFTY BANK","27 Nov 2014","17988.70","18054.65","17898.40","18022.50"
"NIFTY BANK","26 Nov 2014","17914.35","18128.15","17890.85","17975.95"
"NIFTY BANK","25 Nov 2014","18261.95","18261.95","17992.50","18037.05"
"NIFTY BANK","24 Nov 2014","18128.60","18313.10","18119.65","18281.95"
"NIFTY BANK","21 Nov 2014","17767.75","18139.95","17716.65","18056.30"
"NIFTY BANK","20 Nov 2014","17649.35","17681.80","17546.70","17645.05"
"NIFTY BANK","19 Nov 2014","17739.20","17745.70","17557.10","17585.65"
"NIFTY BANK","18 Nov 2014","17672.85","17750.25","17601.15","17702.55"
"NIFTY BANK","17 Nov 2014","17571.70","17676.60","17469.25","17640.40"
"NIFTY BANK","14 Nov 2014","17460.55","17601.15","17410.50","17576.80"
"NIFTY BANK","13 Nov 2014","17645.30","17651.00","17389.65","17453.00"
"NIFTY BANK","12 Nov 2014","17461.45","17635.90","17453.45","17587.05"
"NIFTY BANK","11 Nov 2014","17266.25","17434.15","17220.45","17390.20"
"NIFTY BANK","10 Nov 2014","17364.65","17412.00","17203.00","17262.40"
"NIFTY BANK","07 Nov 2014","17366.85","17383.60","17202.20","17347.05"
"NIFTY BANK","05 Nov 2014","17201.45","17425.20","17157.80","17352.95"
"NIFTY BANK","03 Nov 2014","17087.00","17168.40","16934.85","17134.10"
"NIFTY BANK","31 Oct 2014","16812.45","17060.15","16783.65","17045.05"
"NIFTY BANK","30 Oct 2014","16606.50","16776.35","16561.35","16760.05"
"NIFTY BANK","29 Oct 2014","16770.20","16770.20","16596.25","16634.05"
"NIFTY BANK","28 Oct 2014","16607.50","16702.30","16607.50","16667.00"
"NIFTY BANK","27 Oct 2014","16538.90","16664.30","16470.85","16556.60"
"NIFTY BANK","23 Oct 2014","16508.40","16524.90","16444.05","16470.05"
"NIFTY BANK","22 Oct 2014","16570.40","16572.50","16365.60","16444.70"
"NIFTY BANK","21 Oct 2014","16281.95","16452.85","16269.00","16427.25"
"NIFTY BANK","20 Oct 2014","16259.70","16297.25","16157.05","16216.60"
"NIFTY BANK","17 Oct 2014","15617.35","15973.50","15603.45","15929.80"
"NIFTY BANK","16 Oct 2014","15690.35","15836.15","15477.05","15541.60"
"NIFTY BANK","14 Oct 2014","15790.95","15843.70","15560.25","15751.55"
"NIFTY BANK","13 Oct 2014","15360.70","15705.70","15301.65","15677.50"
"NIFTY BANK","10 Oct 2014","15603.45","15628.75","15439.35","15453.80"
"NIFTY BANK","09 Oct 2014","15434.35","15795.65","15434.35","15741.20"
"NIFTY BANK","08 Oct 2014","15130.35","15371.80","15130.35","15344.00"
"NIFTY BANK","07 Oct 2014","15214.25","15344.60","15157.70","15180.25"
"NIFTY BANK","01 Oct 2014","15370.70","15377.60","15270.95","15316.20"
"NIFTY BANK","30 Sep 2014","15441.35","15596.10","15336.70","15392.25"
"NIFTY BANK","29 Sep 2014","15636.45","15636.45","15420.80","15473.55"
"NIFTY BANK","26 Sep 2014","15262.90","15666.40","15168.40","15607.25"
"NIFTY BANK","25 Sep 2014","15690.50","15734.10","15213.35","15299.05"
"NIFTY BANK","24 Sep 2014","15883.45","15954.45","15625.85","15740.30"
"NIFTY BANK","23 Sep 2014","16194.40","16240.55","15894.55","15902.85"
"NIFTY BANK","22 Sep 2014","16052.55","16272.35","16021.15","16194.55"
"NIFTY BANK","19 Sep 2014","16197.50","16197.50","16064.60","16152.15"
"NIFTY BANK","18 Sep 2014","15778.75","16173.80","15770.80","16156.85"
"NIFTY BANK","17 Sep 2014","15926.85","15937.30","15799.70","15838.60"
"NIFTY BANK","16 Sep 2014","16160.70","16169.60","15814.65","15844.10"
"NIFTY BANK","15 Sep 2014","16158.65","16239.70","16106.05","16167.55"
"NIFTY BANK","12 Sep 2014","16208.00","16278.65","16145.70","16254.15"
"NIFTY BANK","11 Sep 2014","16197.30","16309.70","16166.85","16204.15"
"NIFTY BANK","10 Sep 2014","16173.50","16190.50","16053.90","16151.75"
"NIFTY BANK","09 Sep 2014","16171.80","16199.10","16085.70","16156.75"
"NIFTY BANK","08 Sep 2014","16084.20","16222.55","16049.25","16206.70"
"NIFTY BANK","05 Sep 2014","16030.45","16111.00","15891.75","15982.50"
"NIFTY BANK","04 Sep 2014","16102.90","16114.75","15926.65","16033.55"
"NIFTY BANK","03 Sep 2014","16208.55","16208.55","16048.10","16110.00"
"NIFTY BANK","02 Sep 2014","16049.75","16170.85","16047.30","16130.55"
"NIFTY BANK","01 Sep 2014","15790.25","16060.20","15790.25","16012.80"
"NIFTY BANK","28 Aug 2014","15758.05","15794.60","15688.15","15740.40"
"NIFTY BANK","27 Aug 2014","15745.60","15758.85","15669.05","15717.65"
"NIFTY BANK","26 Aug 2014","15530.65","15674.55","15503.40","15624.10"
"NIFTY BANK","25 Aug 2014","15817.55","15973.35","15625.45","15669.00"
"NIFTY BANK","22 Aug 2014","15699.05","15865.30","15696.30","15819.15"
"NIFTY BANK","21 Aug 2014","15475.50","15721.95","15462.50","15662.20"
"NIFTY BANK","20 Aug 2014","15566.75","15566.75","15448.90","15481.70"
"NIFTY BANK","19 Aug 2014","15507.05","15624.35","15469.85","15524.65"
"NIFTY BANK","18 Aug 2014","15099.70","15465.05","15068.35","15439.75"
"NIFTY BANK","14 Aug 2014","14954.20","15144.75","14940.30","15089.65"
"NIFTY BANK","13 Aug 2014","15007.25","15078.35","14843.80","14910.90"
