"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","31 Dec 2019","8082.20","8121.45","8028.55","8040.15"
"NIFTY PHARMA","30 Dec 2019","8086.55","8125.05","8071.25","8083.10"
"NIFTY PHARMA","27 Dec 2019","8013.75","8075.55","8010.35","8068.05"
"NIFTY PHARMA","26 Dec 2019","8079.65","8097.75","7985.75","7997.60"
"NIFTY PHARMA","24 Dec 2019","8060.40","8083.25","8020.85","8073.80"
"NIFTY PHARMA","23 Dec 2019","8043.05","8096.00","8020.80","8051.50"
"NIFTY PHARMA","20 Dec 2019","8059.60","8090.15","8038.80","8049.45"
"NIFTY PHARMA","19 Dec 2019","8087.50","8128.00","8024.65","8073.05"
"NIFTY PHARMA","18 Dec 2019","8013.45","8100.40","7988.20","8091.10"
"NIFTY PHARMA","17 Dec 2019","8037.35","8068.20","7973.70","7999.60"
"NIFTY PHARMA","16 Dec 2019","8017.95","8091.30","7990.10","8025.85"
"NIFTY PHARMA","13 Dec 2019","8050.60","8066.00","7947.80","8045.05"
"NIFTY PHARMA","12 Dec 2019","7991.15","8073.60","7973.85","8045.35"
"NIFTY PHARMA","11 Dec 2019","7958.40","7980.90","7909.90","7967.85"
"NIFTY PHARMA","10 Dec 2019","7983.75","8016.95","7926.00","7940.50"
"NIFTY PHARMA","09 Dec 2019","7987.50","8043.55","7936.70","7960.35"
"NIFTY PHARMA","06 Dec 2019","8091.20","8152.25","7942.00","7957.55"
"NIFTY PHARMA","05 Dec 2019","8104.35","8115.25","8030.15","8051.85"
"NIFTY PHARMA","04 Dec 2019","8032.00","8132.05","8021.80","8121.50"
"NIFTY PHARMA","03 Dec 2019","8167.60","8172.30","8027.05","8044.85"
"NIFTY PHARMA","02 Dec 2019","8195.45","8198.95","8056.20","8128.95"
"NIFTY PHARMA","29 Nov 2019","8286.25","8320.25","8159.20","8189.95"
"NIFTY PHARMA","28 Nov 2019","8247.10","8288.55","8216.75","8273.65"
"NIFTY PHARMA","27 Nov 2019","8178.25","8267.65","8165.20","8246.10"
"NIFTY PHARMA","26 Nov 2019","8242.80","8298.40","8132.25","8177.85"
"NIFTY PHARMA","25 Nov 2019","8072.15","8226.80","8047.80","8211.55"
"NIFTY PHARMA","22 Nov 2019","8076.70","8162.10","7995.05","8067.20"
"NIFTY PHARMA","21 Nov 2019","8107.80","8153.00","8058.45","8068.95"
"NIFTY PHARMA","20 Nov 2019","7866.00","8187.10","7843.65","8107.60"
"NIFTY PHARMA","19 Nov 2019","7839.65","7881.90","7823.75","7851.45"
"NIFTY PHARMA","18 Nov 2019","7757.95","7881.05","7750.95","7816.55"
"NIFTY PHARMA","15 Nov 2019","7620.45","7769.30","7554.50","7720.60"
"NIFTY PHARMA","14 Nov 2019","7634.40","7655.60","7553.05","7591.45"
"NIFTY PHARMA","13 Nov 2019","7795.30","7853.00","7642.00","7660.45"
"NIFTY PHARMA","11 Nov 2019","7728.55","7807.60","7675.00","7784.90"
"NIFTY PHARMA","08 Nov 2019","7955.55","7958.15","7771.00","7787.40"
"NIFTY PHARMA","07 Nov 2019","7942.30","7982.00","7871.00","7966.00"
"NIFTY PHARMA","06 Nov 2019","7877.00","8061.95","7861.65","7926.35"
"NIFTY PHARMA","05 Nov 2019","7960.35","8003.85","7847.85","7879.55"
"NIFTY PHARMA","04 Nov 2019","7983.60","8030.15","7925.25","7966.85"
"NIFTY PHARMA","01 Nov 2019","7902.75","7979.55","7894.20","7949.45"
"NIFTY PHARMA","31 Oct 2019","7840.65","7923.50","7829.55","7878.15"
"NIFTY PHARMA","30 Oct 2019","7871.40","7871.40","7771.75","7819.35"
"NIFTY PHARMA","29 Oct 2019","7745.60","7852.30","7722.25","7824.60"
"NIFTY PHARMA","27 Oct 2019","7741.50","7776.75","7729.95","7743.55"
"NIFTY PHARMA","25 Oct 2019","7719.45","7757.10","7591.70","7736.55"
"NIFTY PHARMA","24 Oct 2019","7770.30","7800.25","7652.50","7728.15"
"NIFTY PHARMA","23 Oct 2019","7760.65","7785.80","7711.95","7761.85"
"NIFTY PHARMA","22 Oct 2019","7607.95","7799.40","7597.70","7746.15"
"NIFTY PHARMA","18 Oct 2019","7530.65","7651.95","7500.50","7608.15"
"NIFTY PHARMA","17 Oct 2019","7480.15","7545.35","7428.65","7533.45"
"NIFTY PHARMA","16 Oct 2019","7448.05","7486.00","7387.90","7475.35"
"NIFTY PHARMA","15 Oct 2019","7371.75","7434.05","7349.25","7420.65"
"NIFTY PHARMA","14 Oct 2019","7296.05","7411.80","7281.85","7361.70"
"NIFTY PHARMA","11 Oct 2019","7256.60","7292.70","7115.65","7278.45"
"NIFTY PHARMA","10 Oct 2019","7200.25","7272.80","7130.50","7235.60"
"NIFTY PHARMA","09 Oct 2019","7154.70","7256.10","7047.10","7235.60"
"NIFTY PHARMA","07 Oct 2019","7396.80","7414.15","7126.55","7148.95"
"NIFTY PHARMA","04 Oct 2019","7490.10","7525.15","7383.05","7396.90"
"NIFTY PHARMA","03 Oct 2019","7418.80","7497.30","7323.30","7461.75"
"NIFTY PHARMA","01 Oct 2019","7552.35","7601.40","7388.60","7466.45"
"NIFTY PHARMA","30 Sep 2019","7688.15","7692.95","7509.10","7547.75"
"NIFTY PHARMA","27 Sep 2019","7837.25","7842.95","7683.25","7695.30"
"NIFTY PHARMA","26 Sep 2019","7818.70","7871.15","7788.60","7857.30"
"NIFTY PHARMA","25 Sep 2019","7860.90","7887.50","7759.75","7789.70"
"NIFTY PHARMA","24 Sep 2019","7831.00","7976.15","7773.85","7891.95"
"NIFTY PHARMA","23 Sep 2019","8063.10","8073.70","7802.30","7857.25"
"NIFTY PHARMA","20 Sep 2019","7839.55","8018.40","7745.55","7983.55"
"NIFTY PHARMA","19 Sep 2019","7922.40","7938.75","7777.75","7799.60"
"NIFTY PHARMA","18 Sep 2019","7973.95","7984.05","7882.55","7923.45"
"NIFTY PHARMA","17 Sep 2019","8082.05","8106.00","7919.20","7933.85"
"NIFTY PHARMA","16 Sep 2019","8005.30","8119.40","7978.15","8070.65"
"NIFTY PHARMA","13 Sep 2019","8141.40","8141.70","7974.65","8033.05"
"NIFTY PHARMA","12 Sep 2019","8113.25","8168.50","8040.25","8102.15"
"NIFTY PHARMA","11 Sep 2019","8107.65","8157.85","8053.10","8082.90"
"NIFTY PHARMA","09 Sep 2019","8067.40","8130.90","8047.50","8077.90"
"NIFTY PHARMA","06 Sep 2019","8028.50","8084.65","7966.20","8068.75"
"NIFTY PHARMA","05 Sep 2019","7998.95","8086.55","7969.10","8071.75"
