"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","31 Dec 2015","12005.30","12031.85","11887.05","11963.50"
"NIFTY PHARMA","30 Dec 2015","12051.05","12060.85","11976.10","11987.25"
"NIFTY PHARMA","29 Dec 2015","12050.85","12091.50","11984.00","12022.35"
"NIFTY PHARMA","28 Dec 2015","11816.35","12036.40","11816.35","12009.00"
"NIFTY PHARMA","24 Dec 2015","11880.90","11883.60","11776.75","11795.75"
"NIFTY PHARMA","23 Dec 2015","11677.15","11823.65","11677.15","11805.85"
"NIFTY PHARMA","22 Dec 2015","11578.30","11654.15","11569.20","11595.90"
"NIFTY PHARMA","21 Dec 2015","11449.65","11581.85","11416.35","11556.95"
"NIFTY PHARMA","18 Dec 2015","11734.50","11823.50","11646.55","11663.80"
"NIFTY PHARMA","17 Dec 2015","11713.35","11785.80","11679.95","11771.80"
"NIFTY PHARMA","16 Dec 2015","11625.70","11674.55","11608.20","11637.65"
"NIFTY PHARMA","15 Dec 2015","11515.60","11574.85","11512.05","11554.80"
"NIFTY PHARMA","14 Dec 2015","11376.45","11511.00","11349.15","11488.00"
"NIFTY PHARMA","11 Dec 2015","11391.50","11503.10","11311.20","11383.50"
"NIFTY PHARMA","10 Dec 2015","11449.55","11449.55","11202.15","11368.15"
"NIFTY PHARMA","09 Dec 2015","11560.45","11592.40","11351.45","11372.05"
"NIFTY PHARMA","08 Dec 2015","11725.60","11732.65","11585.45","11610.35"
"NIFTY PHARMA","07 Dec 2015","11728.20","11785.35","11693.00","11762.60"
"NIFTY PHARMA","04 Dec 2015","11524.70","11812.70","11489.75","11645.05"
"NIFTY PHARMA","03 Dec 2015","11697.90","11697.90","11567.55","11587.30"
"NIFTY PHARMA","02 Dec 2015","11681.50","11743.45","11617.60","11723.35"
"NIFTY PHARMA","01 Dec 2015","11542.80","11620.25","11536.30","11608.70"
"NIFTY PHARMA","30 Nov 2015","11535.50","11561.15","11483.10","11492.90"
"NIFTY PHARMA","27 Nov 2015","11620.95","11630.80","11497.20","11567.55"
"NIFTY PHARMA","26 Nov 2015","11567.20","11669.10","11536.20","11553.30"
"NIFTY PHARMA","24 Nov 2015","11711.90","11738.65","11603.90","11637.85"
"NIFTY PHARMA","23 Nov 2015","11709.30","11749.50","11652.05","11717.15"
"NIFTY PHARMA","20 Nov 2015","11690.45","11723.90","11599.40","11685.35"
"NIFTY PHARMA","19 Nov 2015","11790.75","11811.75","11576.75","11674.95"
"NIFTY PHARMA","18 Nov 2015","11785.55","11837.35","11692.85","11717.80"
"NIFTY PHARMA","17 Nov 2015","11754.95","11828.85","11720.25","11801.20"
"NIFTY PHARMA","16 Nov 2015","11688.45","11768.85","11601.75","11711.00"
"NIFTY PHARMA","13 Nov 2015","11651.85","11723.10","11595.80","11640.55"
"NIFTY PHARMA","11 Nov 2015","11674.00","11769.20","11651.90","11752.90"
"NIFTY PHARMA","10 Nov 2015","11949.85","12010.20","11605.95","11618.30"
"NIFTY PHARMA","09 Nov 2015","11877.20","12031.65","11753.30","11989.05"
"NIFTY PHARMA","06 Nov 2015","12644.45","12755.40","12205.30","12226.65"
"NIFTY PHARMA","05 Nov 2015","12901.05","12904.20","12582.15","12632.50"
"NIFTY PHARMA","04 Nov 2015","13094.70","13116.30","12901.55","12923.90"
"NIFTY PHARMA","03 Nov 2015","13099.10","13155.20","13004.80","13054.55"
"NIFTY PHARMA","02 Nov 2015","13094.40","13098.60","12927.20","13029.70"
"NIFTY PHARMA","30 Oct 2015","13124.30","13241.80","13085.45","13170.15"
"NIFTY PHARMA","29 Oct 2015","13170.95","13185.55","13031.40","13052.00"
"NIFTY PHARMA","28 Oct 2015","13185.40","13186.60","13049.00","13149.15"
"NIFTY PHARMA","27 Oct 2015","13163.00","13270.05","13136.85","13223.00"
"NIFTY PHARMA","26 Oct 2015","13335.10","13335.10","13183.30","13234.65"
"NIFTY PHARMA","23 Oct 2015","13331.10","13331.10","13236.05","13258.50"
"NIFTY PHARMA","21 Oct 2015","13314.35","13334.55","13172.90","13189.80"
"NIFTY PHARMA","20 Oct 2015","13490.60","13490.60","13288.10","13340.95"
"NIFTY PHARMA","19 Oct 2015","13221.70","13425.15","13190.85","13413.65"
"NIFTY PHARMA","16 Oct 2015","13182.60","13217.25","13078.70","13203.55"
"NIFTY PHARMA","15 Oct 2015","13215.40","13261.10","13138.70","13168.60"
"NIFTY PHARMA","14 Oct 2015","13115.90","13185.90","13096.75","13160.65"
"NIFTY PHARMA","13 Oct 2015","13128.20","13169.90","13026.90","13115.40"
"NIFTY PHARMA","12 Oct 2015","13309.85","13335.00","13058.45","13111.65"
"NIFTY PHARMA","09 Oct 2015","13299.50","13333.60","13197.40","13277.70"
"NIFTY PHARMA","08 Oct 2015","13398.35","13398.35","13176.70","13212.85"
"NIFTY PHARMA","07 Oct 2015","13315.65","13345.55","13205.70","13332.40"
"NIFTY PHARMA","06 Oct 2015","13247.40","13394.45","13228.25","13275.75"
"NIFTY PHARMA","05 Oct 2015","13212.50","13233.85","13058.05","13149.00"
"NIFTY PHARMA","01 Oct 2015","13050.15","13183.05","13042.10","13140.85"
"NIFTY PHARMA","30 Sep 2015","12820.80","12937.75","12794.25","12918.75"
"NIFTY PHARMA","29 Sep 2015","12741.00","12801.05","12582.75","12700.10"
"NIFTY PHARMA","28 Sep 2015","12894.85","12959.15","12714.75","12844.20"
"NIFTY PHARMA","24 Sep 2015","12789.10","12887.85","12789.10","12826.45"
"NIFTY PHARMA","23 Sep 2015","12588.25","12774.90","12482.30","12731.55"
"NIFTY PHARMA","22 Sep 2015","12811.40","12815.00","12590.75","12662.80"
"NIFTY PHARMA","21 Sep 2015","12726.35","12759.80","12660.20","12706.30"
"NIFTY PHARMA","18 Sep 2015","12759.95","12810.20","12650.40","12751.20"
"NIFTY PHARMA","16 Sep 2015","12583.05","12663.80","12557.50","12623.80"
"NIFTY PHARMA","15 Sep 2015","12519.80","12562.95","12432.10","12478.80"
"NIFTY PHARMA","14 Sep 2015","12423.05","12509.15","12324.70","12495.20"
"NIFTY PHARMA","11 Sep 2015","12391.05","12457.65","12282.80","12341.85"
"NIFTY PHARMA","10 Sep 2015","12253.15","12360.00","12129.75","12315.00"
"NIFTY PHARMA","09 Sep 2015","12520.05","12551.45","12280.25","12360.05"
"NIFTY PHARMA","08 Sep 2015","12271.20","12366.40","11933.55","12329.50"
"NIFTY PHARMA","07 Sep 2015","12592.45","12622.35","12209.95","12240.00"
"NIFTY PHARMA","04 Sep 2015","12909.65","12911.10","12453.20","12521.55"
"NIFTY PHARMA","03 Sep 2015","12953.95","12971.95","12790.15","12817.40"
"NIFTY PHARMA","02 Sep 2015","13121.15","13149.65","12810.60","12840.35"
"NIFTY PHARMA","01 Sep 2015","13094.45","13252.00","12922.05","13007.05"
"NIFTY PHARMA","31 Aug 2015","12970.80","13251.50","12893.65","13213.20"
"NIFTY PHARMA","28 Aug 2015","13175.70","13230.85","12793.75","12940.75"
"NIFTY PHARMA","27 Aug 2015","12902.30","13024.20","12786.40","12995.75"
"NIFTY PHARMA","26 Aug 2015","12819.90","12949.45","12566.75","12623.05"
"NIFTY PHARMA","25 Aug 2015","12889.35","12978.80","12149.90","12772.40"
"NIFTY PHARMA","24 Aug 2015","13068.40","13311.90","12605.45","12653.30"
"NIFTY PHARMA","21 Aug 2015","13405.30","13534.30","13155.70","13470.00"
"NIFTY PHARMA","20 Aug 2015","13455.40","13753.50","13422.90","13463.75"
"NIFTY PHARMA","19 Aug 2015","13042.35","13355.35","13042.35","13335.85"
"NIFTY PHARMA","18 Aug 2015","13139.60","13168.35","12958.20","12980.10"
"NIFTY PHARMA","17 Aug 2015","13200.45","13200.45","12959.70","13089.55"
"NIFTY PHARMA","14 Aug 2015","13044.15","13238.95","13028.25","13137.25"
"NIFTY PHARMA","13 Aug 2015","12832.85","12983.55","12832.85","12913.70"
"NIFTY PHARMA","12 Aug 2015","12661.50","12908.20","12661.50","12771.75"
"NIFTY PHARMA","11 Aug 2015","12691.40","12691.40","12570.40","12636.90"
"NIFTY PHARMA","10 Aug 2015","12718.55","12784.35","12588.15","12638.60"
"NIFTY PHARMA","07 Aug 2015","12745.70","12749.55","12627.05","12641.05"
"NIFTY PHARMA","06 Aug 2015","12621.95","12788.85","12621.95","12697.50"
"NIFTY PHARMA","05 Aug 2015","12419.45","12594.45","12399.70","12572.55"
"NIFTY PHARMA","04 Aug 2015","12441.00","12441.00","12278.60","12361.95"
"NIFTY PHARMA","03 Aug 2015","12371.40","12409.15","12321.90","12379.50"
"NIFTY PHARMA","31 Jul 2015","12170.75","12381.55","12170.75","12353.25"
"NIFTY PHARMA","30 Jul 2015","12049.10","12095.15","11954.05","12073.10"
"NIFTY PHARMA","29 Jul 2015","11945.05","11992.10","11872.60","11978.40"
"NIFTY PHARMA","28 Jul 2015","12104.15","12142.15","11896.55","11917.15"
"NIFTY PHARMA","27 Jul 2015","12219.25","12247.10","12048.25","12056.90"
"NIFTY PHARMA","24 Jul 2015","12298.40","12360.90","12180.80","12226.05"
"NIFTY PHARMA","23 Jul 2015","12435.45","12435.60","12233.55","12275.40"
"NIFTY PHARMA","22 Jul 2015","12244.85","12406.95","12244.85","12377.70"
"NIFTY PHARMA","21 Jul 2015","12731.80","12731.80","12231.35","12255.30"
"NIFTY PHARMA","20 Jul 2015","13184.75","13201.25","13130.20","13175.65"
"NIFTY PHARMA","17 Jul 2015","13120.65","13179.90","13098.50","13139.00"
"NIFTY PHARMA","16 Jul 2015","12955.55","13084.00","12932.95","13060.35"
"NIFTY PHARMA","15 Jul 2015","12815.05","12928.70","12792.10","12912.35"
"NIFTY PHARMA","14 Jul 2015","12735.25","12805.05","12691.95","12786.60"
"NIFTY PHARMA","13 Jul 2015","12622.45","12757.80","12620.10","12697.80"
"NIFTY PHARMA","10 Jul 2015","12470.80","12570.40","12393.30","12537.25"
"NIFTY PHARMA","09 Jul 2015","12401.50","12520.30","12380.40","12399.35"
