"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","30 Dec 2016","10174.00","10285.05","10162.40","10267.00"
"NIFTY PHARMA","29 Dec 2016","10162.20","10196.50","10100.00","10132.35"
"NIFTY PHARMA","28 Dec 2016","10121.10","10247.00","10101.10","10149.35"
"NIFTY PHARMA","27 Dec 2016","9926.15","10098.05","9920.55","10083.00"
"NIFTY PHARMA","26 Dec 2016","10144.55","10144.55","9870.05","9889.30"
"NIFTY PHARMA","23 Dec 2016","10252.10","10318.10","10075.20","10156.65"
"NIFTY PHARMA","22 Dec 2016","10362.05","10397.65","10212.75","10226.15"
"NIFTY PHARMA","21 Dec 2016","10483.95","10509.85","10350.75","10361.60"
"NIFTY PHARMA","20 Dec 2016","10577.25","10585.65","10428.35","10436.75"
"NIFTY PHARMA","19 Dec 2016","10637.25","10656.00","10525.95","10555.70"
"NIFTY PHARMA","16 Dec 2016","10657.70","10680.00","10538.85","10646.50"
"NIFTY PHARMA","15 Dec 2016","10810.30","10865.95","10630.75","10655.50"
"NIFTY PHARMA","14 Dec 2016","10957.35","10988.80","10842.15","10859.25"
"NIFTY PHARMA","13 Dec 2016","10909.65","10956.85","10833.65","10947.90"
"NIFTY PHARMA","12 Dec 2016","10928.60","10960.75","10872.65","10895.90"
"NIFTY PHARMA","09 Dec 2016","11003.85","11018.50","10908.15","10929.45"
"NIFTY PHARMA","08 Dec 2016","10824.30","10990.55","10770.25","10972.65"
"NIFTY PHARMA","07 Dec 2016","11065.25","11068.55","10804.90","10832.65"
"NIFTY PHARMA","06 Dec 2016","11127.00","11164.25","11052.30","11069.85"
"NIFTY PHARMA","05 Dec 2016","11082.35","11129.55","11018.05","11073.50"
"NIFTY PHARMA","02 Dec 2016","11082.40","11129.20","11003.70","11038.05"
"NIFTY PHARMA","01 Dec 2016","11103.25","11215.45","11076.05","11132.05"
"NIFTY PHARMA","30 Nov 2016","11117.15","11169.00","11054.25","11080.05"
"NIFTY PHARMA","29 Nov 2016","11139.45","11160.05","11030.35","11061.30"
"NIFTY PHARMA","28 Nov 2016","11100.90","11168.60","11054.15","11110.25"
