"Index Name","Date","Open","High","Low","Close"
"NIFTY IT","31 Dec 2020","24255.95","24295.20","24137.80","24251.35"
"NIFTY IT","30 Dec 2020","24312.50","24394.75","24176.25","24330.05"
"NIFTY IT","29 Dec 2020","24093.05","24424.20","24090.30","24274.05"
"NIFTY IT","28 Dec 2020","24065.40","24192.05","24037.80","24100.30"
"NIFTY IT","24 Dec 2020","24163.20","24163.20","23828.05","24009.25"
"NIFTY IT","23 Dec 2020","23787.80","24228.80","23758.40","24167.75"
"NIFTY IT","22 Dec 2020","22921.85","23680.90","22745.25","23611.60"
"NIFTY IT","21 Dec 2020","23233.50","23506.70","22458.15","22844.60"
"NIFTY IT","18 Dec 2020","23173.15","23416.50","23148.50","23256.55"
"NIFTY IT","17 Dec 2020","22913.15","22960.50","22835.40","22892.25"
"NIFTY IT","16 Dec 2020","22830.40","22933.80","22701.55","22906.25"
"NIFTY IT","15 Dec 2020","22656.35","22779.70","22608.35","22715.10"
"NIFTY IT","14 Dec 2020","22786.00","22792.45","22487.30","22746.70"
"NIFTY IT","11 Dec 2020","22754.50","22901.75","22541.10","22664.00"
"NIFTY IT","10 Dec 2020","22693.95","22809.55","22606.60","22755.75"
"NIFTY IT","09 Dec 2020","22799.95","22895.50","22720.50","22803.45"
"NIFTY IT","08 Dec 2020","22484.35","22737.95","22387.35","22617.35"
"NIFTY IT","07 Dec 2020","22333.30","22482.90","22271.00","22440.85"
"NIFTY IT","04 Dec 2020","22222.25","22347.85","22130.30","22309.80"
"NIFTY IT","03 Dec 2020","22458.75","22458.80","22147.30","22202.20"
"NIFTY IT","02 Dec 2020","22149.35","22371.55","21961.45","22319.00"
"NIFTY IT","01 Dec 2020","21921.10","22216.45","21814.40","22170.85"
"NIFTY IT","27 Nov 2020","21879.15","21972.95","21701.30","21764.90"
"NIFTY IT","26 Nov 2020","21717.40","21919.15","21544.05","21859.90"
"NIFTY IT","25 Nov 2020","22087.90","22132.90","21675.90","21705.90"
"NIFTY IT","24 Nov 2020","22099.60","22281.85","22016.95","22064.30"
"NIFTY IT","23 Nov 2020","21551.85","22047.05","21432.65","22007.05"
"NIFTY IT","20 Nov 2020","21275.35","21500.65","21121.75","21409.25"
"NIFTY IT","19 Nov 2020","21285.75","21451.80","21070.25","21114.45"
"NIFTY IT","18 Nov 2020","21519.15","21557.10","21153.85","21314.85"
"NIFTY IT","17 Nov 2020","21704.05","21706.20","21361.45","21488.55"
"NIFTY IT","14 Nov 2020","21604.40","21618.90","21532.85","21552.75"
"NIFTY IT","13 Nov 2020","21305.35","21462.00","21219.80","21436.85"
"NIFTY IT","12 Nov 2020","21380.20","21610.05","21291.70","21363.35"
"NIFTY IT","11 Nov 2020","21029.25","21365.65","20967.80","21330.45"
"NIFTY IT","10 Nov 2020","21633.10","21633.10","20862.70","20978.50"
"NIFTY IT","09 Nov 2020","21751.65","21926.90","21620.55","21820.15"
"NIFTY IT","06 Nov 2020","21435.15","21582.20","21251.55","21492.25"
"NIFTY IT","05 Nov 2020","21383.70","21596.00","21284.60","21385.65"
"NIFTY IT","04 Nov 2020","20769.90","21468.45","20765.80","21104.55"
"NIFTY IT","03 Nov 2020","20792.25","21017.95","20679.65","20736.00"
"NIFTY IT","02 Nov 2020","20964.15","21012.45","20669.35","20732.30"
"NIFTY IT","30 Oct 2020","20912.95","21197.30","20797.50","20916.85"
"NIFTY IT","29 Oct 2020","20667.70","20961.05","20548.30","20876.95"
"NIFTY IT","28 Oct 2020","21121.90","21194.75","20701.00","20810.30"
"NIFTY IT","27 Oct 2020","21287.10","21371.60","20932.70","21023.40"
"NIFTY IT","26 Oct 2020","21493.30","21595.80","21148.65","21265.70"
"NIFTY IT","23 Oct 2020","21546.65","21621.60","21385.15","21523.60"
"NIFTY IT","22 Oct 2020","21480.70","21767.05","21290.45","21413.50"
"NIFTY IT","21 Oct 2020","21757.05","21892.30","21406.10","21577.65"
"NIFTY IT","20 Oct 2020","21397.50","21779.80","21346.05","21694.35"
"NIFTY IT","19 Oct 2020","21683.80","21683.80","21354.90","21391.90"
"NIFTY IT","16 Oct 2020","21638.25","21908.80","21247.55","21538.15"
"NIFTY IT","15 Oct 2020","22473.65","22570.50","21364.15","21567.30"
"NIFTY IT","14 Oct 2020","22475.85","22490.30","22129.95","22204.05"
"NIFTY IT","13 Oct 2020","22230.20","22619.00","22186.05","22492.60"
"NIFTY IT","12 Oct 2020","21990.85","22320.00","21845.05","22202.10"
"NIFTY IT","09 Oct 2020","21703.45","21922.75","21540.65","21837.60"
"NIFTY IT","08 Oct 2020","21531.85","22169.30","21501.95","21697.25"
"NIFTY IT","07 Oct 2020","20897.55","21121.60","20771.65","21017.40"
"NIFTY IT","06 Oct 2020","20995.30","20995.30","20573.90","20896.75"
"NIFTY IT","05 Oct 2020","20375.90","20940.90","20341.45","20809.00"
"NIFTY IT","01 Oct 2020","20129.80","20196.05","20009.30","20110.40"
"NIFTY IT","30 Sep 2020","19880.60","20048.55","19741.65","19951.30"
"NIFTY IT","29 Sep 2020","19891.05","20146.35","19782.35","19831.80"
"NIFTY IT","28 Sep 2020","19774.75","19836.95","19463.65","19783.00"
"NIFTY IT","25 Sep 2020","19108.75","19678.50","19077.85","19629.35"
"NIFTY IT","24 Sep 2020","19630.30","19658.00","18914.70","18973.00"
"NIFTY IT","23 Sep 2020","20016.80","20226.30","19615.15","19805.65"
"NIFTY IT","22 Sep 2020","19813.35","20113.40","19376.70","19866.10"
"NIFTY IT","21 Sep 2020","19855.55","20331.60","19683.85","19728.95"
"NIFTY IT","18 Sep 2020","19889.95","20067.70","19777.75","19827.05"
"NIFTY IT","17 Sep 2020","19660.45","20014.65","19605.05","19817.70"
"NIFTY IT","16 Sep 2020","19642.30","19802.40","19533.70","19770.35"
"NIFTY IT","15 Sep 2020","19511.50","19823.00","19392.35","19627.30"
"NIFTY IT","14 Sep 2020","18804.85","19592.30","18799.55","19505.10"
"NIFTY IT","11 Sep 2020","18347.65","18740.85","18338.10","18633.25"
"NIFTY IT","10 Sep 2020","18385.95","18416.75","18217.10","18395.85"
"NIFTY IT","09 Sep 2020","18264.20","18439.55","18193.45","18261.50"
"NIFTY IT","08 Sep 2020","18304.25","18671.75","18213.55","18395.75"
"NIFTY IT","07 Sep 2020","18093.05","18208.95","17962.35","18176.80"
"NIFTY IT","04 Sep 2020","18049.20","18259.80","18012.80","18073.95"
"NIFTY IT","03 Sep 2020","18148.25","18497.95","18108.00","18348.55"
"NIFTY IT","02 Sep 2020","17860.65","18114.85","17858.30","18076.95"
"NIFTY IT","01 Sep 2020","17954.60","18154.40","17775.65","17814.05"
"NIFTY IT","31 Aug 2020","18163.25","18426.40","17791.85","17928.85"
"NIFTY IT","28 Aug 2020","18216.30","18253.60","18093.45","18122.00"
"NIFTY IT","27 Aug 2020","18231.95","18305.55","18075.75","18102.65"
"NIFTY IT","26 Aug 2020","18022.70","18156.15","17940.70","18128.00"
"NIFTY IT","25 Aug 2020","18028.80","18047.50","17914.50","17973.70"
